back_camera,front_camera,resolution_1,resolution_2,screen_size,battery,price,prebook,sales
16,25,1080,2340,6.42,3400,1938,107.4,716
12,7,1125,2436,5.8,2716,1140,107.4,716
12,7,2732,2048,12.9,10891,1026,107.4,716
8,1.2,2048,2732,12.9,10307,969,107.4,716
12,8,1440,2880,6,3500,912,107.4,716
12,7,1080,1920,5.5,2691,877.8,107.4,716
16,25,1080,2340,6.42,3730,877.8,107.4,716
12,8,1440,2880,6,3930,855,107.4,716
12,7,750,1334,4.7,1821,798,187.95,1253
12,7,1080,1920,5.5,2900,786.6,187.95,1253
12,5,1536,2048,9.7,7306,786.6,187.95,1253
12,5,1440,2560,5.5,2730,718.2,187.95,1253
12,8,1440,2960,6.2,3500,706.8,187.95,1253
20,20,1080,2160,6.43,4000,661.2,187.95,1253
16,16,1080,1920,6,4000,649.8,187.95,1253
12,7,750,1334,4.7,1960,627,187.95,1253
16,16,1080,1920,6,4120,627,187.95,1253
16,16,1080,1920,5.5,3000,627,187.95,1253
16,5,1440,2560,5.7,3000,627,187.95,1253
13,1.9,1080,1920,5,2500,615.6,187.95,1253
13,5,1536,2048,9.7,6000,615.6,187.95,1253
16,5,1440,2560,5.7,3000,604.2,187.95,1253
16,5,1440,2560,5.7,3000,604.2,187.95,1253
16,20,1080,2280,6.28,3430,581.4,187.95,1253
5,1.2,1536,2048,9.7,11560,570,187.95,1253
12,5,750,1334,4.7,1715,570,187.95,1253
12,5,1080,2160,6,3930,570,187.95,1253
20,20,1080,1920,6,4000,570,187.95,1253
16,5,1440,2560,5.1,2600,570,187.95,1253
12,16,1440,2560,5.5,3000,558.6,187.95,1253
21,4,1440,2560,5.2,2840,547.2,187.95,1253
16,16,1080,1920,6,4000,547.2,187.95,1253
12,5,1080,1920,5.5,2750,535.8,187.95,1253
16,20,1080,2280,6.28,3450,524.4,187.95,1253
16,25,1080,2280,6.4,3500,524.4,187.95,1253
20,20,1080,2160,6.01,3200,513,187.95,1253
16,16,1080,1920,5.5,3010,513,187.95,1253
12,5,1440,2560,5.5,3600,513,187.95,1253
12,8,1440,2960,5.8,3000,513,187.95,1253
8,1.2,1536,2048,9.7,7340,501.6,187.95,1253
13,5,1440,2560,5.5,3000,501.6,187.95,1253
16,8,1080,1920,5.7,3300,501.6,187.95,1253
12,8,1080,2160,6.01,3000,490.2,241.65,1611
13,8,1080,1920,6,4100,490.2,241.65,1611
13,13,1080,1920,5.9,3610,490.2,241.65,1611
16,16,1080,1920,6,4000,490.2,241.65,1611
8,1.2,1080,1920,5.5,2915,478.8,241.65,1611
2,16,240,320,2.8,1350,478.8,241.65,1611
13,5,1080,1920,5,2600,478.8,241.65,1611
13,2,1440,2560,5.96,3220,478.8,241.65,1611
16,5,1440,2560,5.1,2550,467.4,241.65,1611
5,1.2,1536,2048,7.9,6470,456,241.65,1611
12,5,1080,1920,5.5,3000,456,241.65,1611
20,20,1080,1920,5.5,3000,456,241.65,1611
13,5,1080,1920,5.2,2000,456,241.65,1611
13,8,1080,1920,6,4000,456,241.65,1611
16,5,1440,2560,5.1,2550,456,241.65,1611
8,2.1,1536,2048,9.7,5870,456,241.65,1611
8,2.1,1536,2048,8,4000,456,241.65,1611
16,8,1080,1920,6,5000,456,241.65,1611
8,1.2,1536,2048,9.7,8827,444.6,241.65,1611
16,16,1080,1920,5.7,3600,444.6,241.65,1611
13,13,1080,1920,5.2,2400,433.2,241.65,1611
16,5,1080,1920,5.7,3050,433.2,241.65,1611
16,5,1440,2560,5.1,3500,433.2,241.65,1611
16,2,1080,1920,5.1,2800,433.2,241.65,1611
16,5,1440,2560,5.1,2600,433.2,241.65,1611
8,2.2,1200,1920,8,4500,433.2,242.25,1615
4,2.1,1080,1920,5.9,3300,421.8,241.65,1611
13,8,720,1280,5.5,2600,421.8,241.65,1611
13,5,1080,1920,5.5,2800,421.8,241.65,1611
12,5,1440,2560,5.1,3000,421.8,241.65,1611
12,5,1440,2560,5.5,3600,421.8,241.65,1611
16,16,1080,1920,5.7,3300,421.8,241.65,1611
8,1.2,1536,2048,7.9,5124,410.4,241.65,1611
8,1.2,750,1334,4.7,1810,410.4,241.65,1611
20,4,1080,1920,5,2840,410.4,241.65,1611
13,8,1080,1920,5,2320,410.4,241.65,1611
12,5,1440,2560,5.1,4000,410.4,241.65,1611
5,1.2,1536,2048,9.7,8820,399,241.65,1611
5,1.2,1536,2048,9.7,11560,399,241.65,1611
12,5,1440,2560,5.2,3000,399,241.65,1611
20,13,1080,1920,5.5,3000,399,241.65,1611
13,5,1080,1920,5,2600,399,241.65,1611
13,16,1080,1920,5.5,2850,399,241.65,1611
3.15,1.2,800,1280,8,4450,399,241.65,1611
16,5,1080,1920,5.1,2800,399,241.65,1611
13,5,1080,1920,5.5,3300,399,241.65,1611
13,2,1080,1920,6,3300,387.6,241.65,1611
8,1.2,640,1136,4,1440,387.6,241.65,1611
20,4,1440,2560,5.2,2840,387.6,241.65,1611
13,8,720,1280,5.5,2600,387.6,241.65,1611
13,5,720,1280,5,2420,387.6,241.65,1611
8,2.1,720,1280,6,2800,387.6,241.65,1611
5,2,768,1024,9.7,6000,387.6,241.65,1611
8,1.2,640,1136,4,1560,376.2,241.65,1611
8,2.1,1080,1920,5,2020,376.2,241.65,1611
16,16,1080,1920,5.2,2600,376.2,241.65,1611
13,5,1080,1920,5,2840,376.2,241.65,1611
12,16,1080,1920,5.2,3000,376.2,241.65,1611
21,5,1440,2560,5.4,3760,376.2,241.65,1611
16,8,1080,2280,6.2,3400,376.2,241.65,1611
13,13,720,1280,5,2140,376.2,241.65,1611
12,5,1440,2560,5.1,3000,376.2,241.65,1611
8,2,720,1280,5.7,2400,364.8,241.65,1611
13,4,1080,1920,5.5,2800,364.8,241.65,1611
13,8,720,1280,5.5,2600,364.8,241.65,1611
20,13,1440,2560,5.5,2800,364.8,241.65,1611
13,2,1080,1920,5.2,2300,364.8,241.65,1611
16,20,1080,2160,6,3200,364.8,241.65,1611
12,16,1440,2560,5.7,3000,353.4,241.65,1611
13,4,720,1280,5.5,2600,353.4,241.65,1611
13,16,1080,1920,5.5,3200,353.4,241.65,1611
16,16,1080,1920,5.2,2600,353.4,241.65,1611
12,1.2,640,1136,4,1624,342,241.65,1611
8,1.2,640,1136,4,1510,342,241.65,1611
8,1.6,1536,2048,8.9,6700,342,241.65,1611
20,13,1440,2560,5.2,2700,342,241.65,1611
13,5,1080,1920,5.5,3000,342,241.65,1611
20,4,1440,2560,5.2,2840,342,241.65,1611
12,5,1440,2560,5.2,3000,342,241.65,1611
13,4,1080,1920,5,2150,342,241.65,1611
4,2.1,1080,1920,4.68,2300,342,241.65,1611
4,5,1080,1920,5,2600,342,241.65,1611
4,5,1080,1920,5,2600,342,241.65,1611
5,5,1080,1920,5,2600,342,241.65,1611
5,1.3,600,1024,7,4000,342,241.65,1611
4,2.1,1080,1920,5,3200,342,241.65,1611
16,12,1080,2246,6.2,3000,342,241.65,1611
21,5,1080,1920,5.5,3630,342,241.65,1611
21,2,1440,2560,5.2,3900,342,241.65,1611
12,8,1080,2160,5.9,3200,342,241.65,1611
8,5,720,1280,5,2410,342,241.65,1611
13,5,1080,1920,5.5,2600,342,241.65,1611
3.15,1.2,800,1280,8,4450,342,241.65,1611
13,5,1080,1920,5.5,2600,342,241.65,1611
8,1.6,540,960,4.5,1860,330.6,241.65,1611
21,2,1440,2560,5.2,3900,330.6,241.65,1611
5,1.3,800,1280,8.2,3960,330.6,241.65,1611
13,5,1440,2560,5.5,2600,330.6,241.65,1611
16,5,1080,1920,5.5,3510,330.6,241.65,1611
21,5,1440,2560,5.5,3500,330.6,241.65,1611
13,8,720,1280,5.5,3075,330.6,241.65,1611
16,25,1080,2340,6.3,3500,330.6,241.65,1611
13,5,720,1280,5,2410,330.6,241.65,1611
13,5,720,1280,5,2300,330.6,241.65,1611
13,5,720,1280,4.5,2100,319.2,241.65,1611
8,2.1,1080,1920,5,2020,319.2,241.65,1611
8,1.3,800,1280,10.1,7300,319.2,241.65,1611
13,5,720,1280,5,2470,319.2,241.65,1611
13,16,720,1280,4.5,1735,319.2,241.65,1611
21,5,1440,2560,5.4,3760,319.2,241.65,1611
13,16,1080,1920,5.5,3200,319.2,241.65,1611
8,5,540,960,4.5,2020,319.2,241.65,1611
13,16,1080,2160,6,3200,319.2,241.65,1611
3.15,1.3,1280,800,10.1,6800,319.2,241.65,1611
16,5,1440,2560,5.1,2550,319.2,241.65,1611
5,1.2,1536,2048,7.9,6470,307.8,241.65,1611
8,1.3,540,960,4,1700,307.8,241.65,1611
4,2.1,1080,1920,4.7,2300,307.8,241.65,1611
13,4,1080,1920,5,2840,307.8,241.65,1611
8,1.3,720,1280,4.7,3300,307.8,241.65,1611
16,25,1080,2280,6.23,3400,307.8,241.65,1611
8,5,720,1280,5,2410,307.8,241.65,1611
8,5,720,1280,4.7,2000,307.8,241.65,1611
13,5,1080,1920,5.2,2900,307.8,241.65,1611
23,5.1,1080,1920,5.2,2900,307.8,242.322,1615.48
13,2,720,1280,5.7,2700,296.4,241.65,1611
13,8,720,1280,5.5,2600,296.4,241.65,1611
13,5,720,1280,5.5,2600,296.4,241.65,1611
13,5,1080,1920,5,2600,296.4,241.65,1611
13,5,720,1280,5.5,2700,296.4,241.65,1611
8,1.3,540,960,4,1785,296.4,241.65,1611
5,1.3,800,1280,10.1,7000,296.4,241.65,1611
8,1.3,540,960,4.3,3300,296.4,241.65,1611
21,5,1440,2560,5.7,3000,296.4,241.65,1611
13,8,1080,1920,5.5,3070,296.4,241.65,1611
13,16,1080,1920,5.5,3200,296.4,241.65,1611
13,5,720,1280,5,2300,296.4,241.65,1611
13,5,720,1280,5.25,2500,296.4,241.65,1611
8,2,480,800,3.8,1800,296.4,241.65,1611
13,13,1080,1920,5.5,3600,296.4,241.65,1611
13,5,1080,1920,5.5,4080,285,241.65,1611
8,2.1,540,960,5,2100,285,241.65,1611
5,5,1080,1920,5,2600,285,241.65,1611
4,5,1080,1920,5,2600,285,241.65,1611
13,5,720,1280,4.5,2100,285,241.65,1611
13,5,720,1280,5.5,2600,285,241.65,1611
13,8,720,1440,6,2965,285,241.65,1611
13,5,720,1280,5.5,2600,285,241.65,1611
13,4,1080,1920,5.5,2800,285,241.65,1611
13,5,720,1280,5,2000,285,241.65,1611
13,5,1080,1920,5,2700,285,241.65,1611
13,4,1080,1920,5,2840,285,241.65,1611
21,5,1080,1920,5.5,3630,285,241.65,1611
8,1.3,720,1280,4.7,2500,285,241.65,1611
8,1.3,720,1280,4.7,2530,285,241.65,1611
12,16,1080,2160,5.7,3000,285,241.65,1611
10,2,720,1280,4.7,2200,285,241.65,1611
12,5,1080,1920,5.2,3000,285,241.65,1611
10,2,720,1280,5,2130,285,241.65,1611
13,8,1080,2160,6,3410,285,241.65,1611
13,8,720,1280,5,2320,285,241.65,1611
8,1.9,720,1280,4.7,2000,285,241.65,1611
13,16,720,1280,5.5,3075,285,241.65,1611
5,2,768,1024,9.7,6000,285,241.65,1611
16,8,1080,1920,5.7,3300,285,241.65,1611
13,13,1080,1920,5.7,3300,285,241.65,1611
16,5,1080,1920,5.7,3050,285,242.1015,1614.01
13,2,720,1280,4.7,2000,273.6,322.2,2148
8,2.1,480,800,4.3,2100,273.6,322.2,2148
13,5,720,1280,5.5,2700,273.6,322.2,2148
16,8,1440,2560,5.5,3200,273.6,322.2,2148
4,1.6,720,1280,4.3,1800,273.6,322.2,2148
13,5,720,1280,5.5,2800,273.6,322.2,2148
8,1.3,540,960,4.7,2040,273.6,322.2,2148
21,5,1080,1920,5.5,3630,273.6,322.2,2148
8,2,720,1280,5,2390,273.6,322.2,2148
8,5,540,960,5,2400,273.6,322.2,2148
8,2,540,960,4.7,2000,273.6,322.2,2148
13,5,720,1280,5,2800,273.6,322.2,2148
16,16,1080,1920,5.2,3000,273.6,322.2,2148
13,13,720,1280,5.5,4020,262.2,322.2,2148
8,1.3,480,800,4.3,1400,262.2,322.2,2148
8,1.3,540,960,4.5,1620,262.2,322.2,2148
5,1.3,480,854,3.7,1420,262.2,322.2,2148
8,8,540,960,4.3,1785,262.2,322.2,2148
5,5,480,854,3.7,1140,262.2,322.2,2148
8,1.2,480,800,4,2000,262.2,322.2,2148
5,5,480,854,3.7,1390,262.2,322.2,2148
8,1.3,540,960,4.3,3300,262.2,322.2,2148
13,8,720,1280,5,2500,262.2,322.2,2148
13,8,720,1520,6.2,4230,262.2,322.2,2148
13,5,720,1280,5.5,3300,262.2,322.2,2148
13,5,720,1280,5.5,2950,262.2,322.2,2148
8,5,540,960,4.5,1900,262.2,322.2,2148
13,13,1080,1920,5.5,3600,262.2,322.2,2148
8,2,480,1024,4.8,1500,250.8,322.2,2148
21,8,1080,1920,5.5,2870,250.8,322.2,2148
8,8,720,1280,4.3,1460,250.8,322.2,2148
5,1.3,540,960,4.3,1730,250.8,322.2,2148
5,1.3,600,1024,7,4000,250.8,322.2,2148
8,1.3,540,960,4.3,1810,250.8,322.2,2148
13,5,720,1280,5.5,2800,250.8,322.2,2148
8,1.6,720,1280,4.7,2100,250.8,322.2,2148
8,2.1,540,960,5,2100,250.8,322.2,2148
8,1.3,540,960,4.3,1780,250.8,322.2,2148
8,1.3,720,1280,4.5,1780,250.8,322.2,2148
8,2,540,960,4.3,1780,250.8,322.2,2148
3,5,480,640,3,1540,250.8,322.2,2148
10,2,720,1280,5,3500,250.8,322.2,2148
8,8,540,960,4.3,1785,250.8,322.2,2148
16,8,1080,1920,5.5,3050,250.8,322.2,2148
13,8,720,1280,4.5,1735,250.8,322.2,2148
8,5,540,960,5,2420,250.8,322.2,2148
8,5,720,1280,5,2630,250.8,322.2,2148
5,2,768,1024,8,4200,250.8,322.2,2148
5,2,480,800,4.5,2200,250.8,322.2,2148
8,2,1200,1920,10.1,7300,250.8,322.2,2148
16,8,1080,1920,5.2,2600,250.8,322.797,2151.98
5,5,480,800,3.8,1350,239.4,322.2,2148
13,4,1080,1920,5,2840,239.4,322.2,2148
5,1.3,800,1280,10.1,7000,239.4,322.2,2148
8,8,540,960,4.3,1750,239.4,322.2,2148
5,1.3,800,1280,8.2,3960,239.4,322.2,2148
5,1.3,800,1280,8.2,3960,239.4,322.2,2148
8,2,720,1280,5,2390,239.4,322.2,2148
5,1.3,800,1280,10.1,7000,239.4,322.2,2148
13,8,1080,1920,5.5,3000,239.4,322.2,2148
13,8,720,1440,5.7,3180,239.4,322.2,2148
5,2,768,1024,8,4200,239.4,322.2,2148
5,2,720,1280,5,2600,235,322.401,2149.34
13,8,720,1520,6.2,4230,230,322.2,2148
13,5,720,1280,5.5,5000,228,322.2,2148
13,5,720,1280,5,2300,228,322.2,2148
8,2,720,1280,5,3500,228,322.2,2148
8,8,720,1280,5.5,4000,228,322.2,2148
13,5,720,1280,5,2300,228,322.2,2148
13,2,720,1280,4.7,2500,228,322.2,2148
5,2,1200,1920,8,4600,228,322.2,2148
16,8,1080,1920,5.5,4000,228,322.2,2148
13,5,720,1280,5,2200,228,322.2,2148
5,1.6,480,800,4.3,1800,228,322.2,2148
16,1.3,480,800,4.7,1730,228,322.2,2148
8,1.3,540,960,4.5,1620,228,322.2,2148
5,1.6,720,1280,4.3,2000,228,322.2,2148
13,5,720,1440,5.5,2730,228,322.2,2148
13,4,1080,1920,5.5,2800,228,322.2,2148
8,1.3,540,960,4.7,2040,228,322.2,2148
5,1.3,480,854,4.7,2100,228,322.2,2148
8,2.1,720,1280,4.3,1800,228,322.2,2148
13,13,1080,1920,5.5,2600,228,322.2,2148
8,1.3,720,1280,4.7,2000,228,322.2,2148
8,2,720,1280,5,2070,228,322.2,2148
13,8,720,1440,5.7,4000,228,322.2,2148
5,2,540,960,4.7,1900,228,322.2,2148
13,5,1080,1920,5.2,2000,228,322.2,2148
13,1.12,720,1280,5.2,2900,228,322.2,2148
13,8,720,1440,5.7,3180,228,322.2,2148
13,5,720,1280,5.5,3075,228,322.2,2148
5,2,800,1280,9.6,5000,228,322.2,2148
5,1.3,480,800,4.3,1900,228,322.2,2148
13,5,1080,1920,5.5,3300,228,322.2,2148
13,8,720,1280,4.7,2350,228,322.2,2148
13,5,720,1280,5.5,3000,228,322.2,2148
8,5,720,1280,5,2400,228,322.2,2148
13,5,720,1280,4.7,2300,228,322.2,2148
3.15,5,240,400,3,1140,216.6,322.2,2148
8,2.1,480,800,4.3,2100,216.6,322.2,2148
16,16,1080,1920,5.2,2500,216.6,322.2,2148
8,5,720,1280,5,2100,216.6,322.2,2148
8,1.3,720,1280,4.7,1800,216.6,322.2,2148
8,2,720,1280,5,2000,216.6,322.2,2148
13,5,720,1280,5,2200,216.6,322.2,2148
8,1.3,480,800,4,1450,216.6,322.2,2148
5,5,320,480,2.7,1700,216.6,322.2,2148
12,5,720,1440,6,5000,216.6,322.2,2148
8,5,540,960,4.5,1900,216.6,322.2,2148
13,5,720,1280,5.2,3100,216.6,322.2,2148
8,1.9,540,960,4.3,1900,216.6,322.7835,2151.89
